restaurant_name,place_id,veg_items
Bosino Ristorante Italiano,ChIJsZJ8-ZD3wokRUmH0bUJycP0,11
Le Monde,ChIJqRJTizv2wokRwg_FF-6pYuU,73
Celeste,ChIJjUIzMYRYwokRpH6nkif-iZc,32
The Calaveras NYC,ChIJzz0OMeL3wokRAlgHd26kHdM,10
THEP Thai Restaurant,ChIJz6VeesBYwokRNBYu4Sar8lw,22
"Mirak | Japanese Sushi Restaurant Fort Lee Cliffside Park, Edgewater, NJ | Korean foods",ChIJywkmuxT3wokRvhtxFuVJqpE,29
GP's Restaurant,ChIJ9blx6XNYwokR3NJv8zUIH2g,12
El Tina Harlem Restaurant,ChIJMRtWS2r2wokRu_wtCMfge6Y,16
690 Park Restaurant Bar & Lounge,ChIJt5BJ9xP3wokRp53z8vmVow8,1
Jerk House Caribbean Restaurant,ChIJA7R5V933wokRxYZZisNkoD0,4
Home Kitchen,ChIJV1QJfMlZwokRx4f6t5Y7zD4,37
Plum Vietnamese Restaurant,ChIJ07eFHudZwokRZHgZ1U3eJYE,21
Heidelberg Restaurant,ChIJFWvro7tYwokRhy_889mPgcg,9
Lido Harlem Restaurant,ChIJ2yTMoxb2wokRixfwCY3ltok,17
Massawa,ChIJizsMQxX2wokRSD5_pzmhaYg,39
Flor de Mayo Restaurant,ChIJccb94CX2wokRETIajBqC4tE,32
"BUNSIKNARA | Korean restaurant Palisades Park, NJ",ChIJwd2cwkAPZkAR6kXR5YV5vSc,21
Telio Taverna,ChIJMZgTiYJYwokR_gtirtEUi2A,36
"Franco's Metro Restaurant, Bar & Pizza of Fort Lee, NJ",ChIJWT8fuh_3wokRQjDGuJ9qVdo,57
Sylvia's Restaurant,ChIJb8Xw0wz2wokRXhp1-HSLvkI,8
Thai At Lex,ChIJZ-T1rL1YwokRFUejOu-J58g,23
Caridad Restaurant,ChIJz6dyp2P2wokRiQdayjc8crQ,9
Albas pizza and restaurant,ChIJeaUtoWhfwokRSEYUh2yFQUI,37
Jalao NYC,ChIJq6rqPh_0wokRYx9DPUPrCJs,2
Barking Dog Restaurant,ChIJfWR-y6VYwokRWrgtJnJvfYU,41
EJ's Luncheonette,ChIJm8GloepYwokRKQQXHlt9X9w,123
El Porton,ChIJ7wBO30H2wokR1yFm2_zfDVE,18
Paola's Osteria,ChIJuaWAiHtZwokRT_wcvX3pSPE,14
Fine Food Cuisine,ChIJVZRotpf0wokRYqbfByWZ5uo,12
Pa De,ChIJkzeG4cv3wokRTuC6ULLhdRs,27
Pio Pio Cafe & Restaurant 63,ChIJRzDIvA1YwokRg6FuNHZEK2I,24
Chocolat Restaurant & Bar,ChIJkbNGdhT2wokRJ1wWesV8yK0,7
Westside Restaurant,ChIJB1H-kopYwokRbuCvsBUUkaM,90
Rustica Lounge Bar & Restaurant,ChIJsVeJ11_3wokR3miHJrapkJU,18
